profile,sample_index,seed,fault_count,model,threshold,precision,recall,dice,predicted_fraction,truth_fraction
low_frequency,7,20316634,2,Hybrid DSA,0.15,0.08463556712593207,0.8629795197005926,0.15415280335505038,0.1403036117553711,0.013760089874267578
low_frequency,7,20316634,2,SwinUNETR,0.4,0.31434445075603884,0.8054198288110337,0.4522009825380612,0.035256385803222656,0.013760089874267578
high_frequency,0,20261201,6,U-Net,0.5,0.3811400968356886,0.6688409730103123,0.4855746842335275,0.08479452133178711,0.04832029342651367
high_frequency,0,20261201,6,Hybrid DSA,0.15,0.2829389086720172,0.6641239453298465,0.3968195004599165,0.1134190559387207,0.04832029342651367
high_frequency,0,20261201,6,SwinUNETR,0.4,0.4597092209036633,0.4923767701189125,0.47548255833345243,0.051753997802734375,0.04832029342651367
high_frequency,1,20269120,4,U-Net,0.5,0.6002481361072499,0.7088726088726088,0.650053807251849,0.04150819778442383,0.035147666931152344
high_frequency,1,20269120,4,Hybrid DSA,0.15,0.26902209206353195,0.8711301044634377,0.4110911576123665,0.11381292343139648,0.035147666931152344
high_frequency,1,20269120,4,SwinUNETR,0.4,0.4788291468489893,0.699294532627866,0.5684337057091499,0.05133056640625,0.035147666931152344
high_frequency,2,20277039,2,U-Net,0.5,0.2172664946328503,0.9705340699815838,0.35505040423195927,0.03122854232788086,0.006990909576416016
high_frequency,2,20277039,2,Hybrid DSA,0.15,0.08734774628751221,0.9997953754859832,0.16065938522411535,0.08001899719238281,0.006990909576416016
high_frequency,2,20277039,2,SwinUNETR,0.4,0.2290951650402518,0.987995361844349,0.37194433032046015,0.030148983001708984,0.006990909576416016
high_frequency,3,20284958,5,U-Net,0.5,0.6672212978369384,0.7191450579173282,0.69221082419526,0.0524439811706543,0.04865741729736328
high_frequency,3,20284958,5,Hybrid DSA,0.15,0.14504565417344323,0.9334195723329609,0.2510761574128991,0.3131275177001953,0.04865741729736328
high_frequency,3,20284958,5,SwinUNETR,0.4,0.554257140040685,0.6061131690872386,0.5790264521534796,0.053209781646728516,0.04865741729736328
high_frequency,4,20292877,5,U-Net,0.5,0.5679044173208047,0.6969865584358907,0.6258590707585294,0.05363893508911133,0.043704986572265625
high_frequency,4,20292877,5,Hybrid DSA,0.15,0.25104390660505405,0.8979881295277996,0.39239018762320893,0.15633344650268555,0.043704986572265625
high_frequency,4,20292877,5,SwinUNETR,0.4,0.5608771878275007,0.6247817927904338,0.591107326262548,0.04868459701538086,0.043704986572265625
high_frequency,5,20300796,5,U-Net,0.5,0.16307456567868847,0.8429018680931352,0.2732784813530155,0.11887407302856445,0.022998332977294922
high_frequency,5,20300796,5,Hybrid DSA,0.15,0.14584660001994798,0.7882689556509299,0.24615016072694548,0.12430095672607422,0.022998332977294922
high_frequency,5,20300796,5,SwinUNETR,0.4,0.2953130243484097,0.821048703116253,0.43438675778550506,0.06394147872924805,0.022998332977294922
high_frequency,6,20308715,5,U-Net,0.5,0.4623044096728307,0.34767769131824605,0.39688020178378025,0.028158187866210938,0.03744173049926758
high_frequency,6,20308715,5,Hybrid DSA,0.15,0.28905335112612,0.5406833840628622,0.37671308846169205,0.07003593444824219,0.03744173049926758
high_frequency,6,20308715,5,SwinUNETR,0.4,0.41386808104167716,0.41936552005196065,0.41659866527501027,0.03793907165527344,0.03744173049926758
high_frequency,7,20316634,2,U-Net,0.5,0.4750618251267109,0.6723498631181343,0.556744813337542,0.019474506378173828,0.013760089874267578
high_frequency,7,20316634,2,Hybrid DSA,0.15,0.1917961995636469,0.7341719513462938,0.304138732970614,0.05267190933227539,0.013760089874267578
high_frequency,7,20316634,2,SwinUNETR,0.4,0.35497278574962887,0.7458155733444225,0.481008414630058,0.02891063690185547,0.013760089874267578
high_noise,0,20261201,6,U-Net,0.5,0.21147356580427445,0.6474761928257758,0.3188174812194482,0.14794397354125977,0.04832029342651367
high_noise,0,20261201,6,Hybrid DSA,0.15,0.14929978912568265,0.7629545566684759,0.24973069177087726,0.24692726135253906,0.04832029342651367
high_noise,0,20261201,6,SwinUNETR,0.4,0.41953835669205014,0.558898702323975,0.4792938717307505,0.06437110900878906,0.04832029342651367
high_noise,1,20269120,4,U-Net,0.5,0.583572478476937,0.6786731786731787,0.6275402679512269,0.04087543487548828,0.035147666931152344
high_noise,1,20269120,4,Hybrid DSA,0.15,0.07350847326859855,0.9952923619590286,0.13690562277287865,0.475893497467041,0.035147666931152344
high_noise,1,20269120,4,SwinUNETR,0.4,0.4533746264059209,0.7388142721476055,0.561923777389115,0.057276248931884766,0.035147666931152344
high_noise,2,20277039,2,U-Net,0.5,0.1886948280530734,0.9506172839506173,0.31488573332881464,0.03521919250488281,0.006990909576416016
high_noise,2,20277039,2,Hybrid DSA,0.15,0.03419382101825025,0.9989768774299161,0.06612428439853359,0.2042403221130371,0.006990909576416016
high_noise,2,20277039,2,SwinUNETR,0.4,0.2189589157651635,0.9829479571652684,0.35813959267865353,0.031383514404296875,0.006990909576416016
high_noise,3,20284958,5,U-Net,0.5,0.39519085253068775,0.6909507849708943,0.5028026186299259,0.08507251739501953,0.04865741729736328
high_noise,3,20284958,5,Hybrid DSA,0.15,0.05271885146419643,0.9960898453577939,0.1001378283027809,0.9193515777587891,0.04865741729736328
high_noise,3,20284958,5,SwinUNETR,0.4,0.496427389208697,0.6025656102389212,0.5443712068561006,0.05906057357788086,0.04865741729736328
high_noise,4,20292877,5,U-Net,0.5,0.4698869045901734,0.7107772540804749,0.5657577073382545,0.06611061096191406,0.043704986572265625
high_noise,4,20292877,5,Hybrid DSA,0.15,0.07512838315931111,0.9892969363707776,0.1396514681308188,0.5755109786987305,0.043704986572265625
high_noise,4,20292877,5,SwinUNETR,0.4,0.5388802129055509,0.6362485816531378,0.5835305418941028,0.05160188674926758,0.043704986572265625
high_noise,5,20300796,5,U-Net,0.5,0.12470337224521937,0.971885301984201,0.22104436684641013,0.17923927307128906,0.022998332977294922
high_noise,5,20300796,5,Hybrid DSA,0.15,0.13031567722601164,0.8817565466193942,0.22707213737095444,0.15561389923095703,0.022998332977294922
high_noise,5,20300796,5,SwinUNETR,0.4,0.2893662458388292,0.8596753125583131,0.43298872180451126,0.06832551956176758,0.022998332977294922
high_noise,6,20308715,5,U-Net,0.5,0.3855548854041013,0.3907744425058265,0.3881471174219664,0.0379486083984375,0.03744173049926758
high_noise,6,20308715,5,Hybrid DSA,0.15,0.0407324738733157,0.9795978145973688,0.0782127960726335,0.9004569053649902,0.03744173049926758
high_noise,6,20308715,5,SwinUNETR,0.4,0.3343051211191756,0.4205881229225303,0.3725156225325422,0.04710531234741211,0.03744173049926758
high_noise,7,20316634,2,U-Net,0.5,0.4782314598450375,0.8085040024950618,0.600981414937599,0.023262977600097656,0.013760089874267578
high_noise,7,20316634,2,Hybrid DSA,0.15,0.10757922201803975,0.7972762241397234,0.18957802882357302,0.10197687149047852,0.013760089874267578
high_noise,7,20316634,2,SwinUNETR,0.4,0.3234783845278726,0.7882662785459333,0.4587152263125523,0.03353118896484375,0.013760089874267578
low_throw,0,20261201,6,U-Net,0.5,0.5561256484807023,0.28879459219420733,0.3801686174151392,0.025092601776123047,0.04832029342651367
low_throw,0,20261201,6,Hybrid DSA,0.15,0.40665318698247643,0.33342872650120886,0.36641850528404807,0.03961944580078125,0.04832029342651367
low_throw,0,20261201,6,SwinUNETR,0.4,0.5431926294010504,0.30312330389302805,0.3891084593752375,0.026964664459228516,0.04832029342651367
low_throw,1,20269120,4,U-Net,0.5,0.5923987114360054,0.7783882783882784,0.6727758820839342,0.04618263244628906,0.035147666931152344
low_throw,1,20269120,4,Hybrid DSA,0.15,0.28445645578445,0.8967575634242301,0.4319089920054364,0.11080408096313477,0.035147666931152344
low_throw,1,20269120,4,SwinUNETR,0.4,0.5269021658397457,0.7218152218152218,0.6091466451424548,0.04814958572387695,0.035147666931152344
low_throw,2,20277039,2,U-Net,0.5,0.18353947438468227,0.7054771161585158,0.2912946742895767,0.026871204376220703,0.006990909576416016
low_throw,2,20277039,2,Hybrid DSA,0.15,0.04230512355691251,0.7560875792919992,0.08012693088916678,0.12494325637817383,0.006990909576416016
low_throw,2,20277039,2,SwinUNETR,0.4,0.2668092414374129,0.56162608280472,0.3617591494222574,0.01471567153930664,0.006990909576416016
low_throw,3,20284958,5,U-Net,0.5,0.699362030756833,0.5102898806373846,0.5900496892298452,0.03550291061401367,0.04865741729736328
low_throw,3,20284958,5,Hybrid DSA,0.15,0.36809948418569316,0.4510789674839772,0.4053864818329539,0.059626102447509766,0.04865741729736328
low_throw,3,20284958,5,SwinUNETR,0.4,0.5826920776683545,0.28644087728582346,0.3840766339912223,0.023919105529785156,0.04865741729736328
low_throw,4,20292877,5,U-Net,0.5,0.6944352871365465,0.4596534869512089,0.5531629946692577,0.028928756713867188,0.043704986572265625
low_throw,4,20292877,5,Hybrid DSA,0.15,0.3844802661236418,0.5397137121410491,0.4490599950979947,0.06135082244873047,0.043704986572265625
low_throw,4,20292877,5,SwinUNETR,0.4,0.7177850449657254,0.249050798638387,0.369793776020995,0.015164375305175781,0.043704986572265625
low_throw,5,20300796,5,U-Net,0.5,0.28138886676754,0.36629968277663744,0.3182784463500757,0.029938220977783203,0.022998332977294922
low_throw,5,20300796,5,Hybrid DSA,0.15,0.19902221195673095,0.2143849391470216,0.20641812646603783,0.024773597717285156,0.022998332977294922
low_throw,5,20300796,5,SwinUNETR,0.4,0.2918869032636966,0.21639609379859426,0.24853550507215316,0.01705026626586914,0.022998332977294922
low_throw,6,20308715,5,U-Net,0.5,0.4056026952832543,0.08279313814138893,0.1375159969962665,0.0076427459716796875,0.03744173049926758
low_throw,6,20308715,5,Hybrid DSA,0.15,0.15958468739141987,0.19887673361266414,0.17707725017717932,0.046660423278808594,0.03744173049926758
low_throw,6,20308715,5,SwinUNETR,0.4,0.2473697521497218,0.12456540288585219,0.1656940056411516,0.018854141235351562,0.03744173049926758
low_throw,7,20316634,2,U-Net,0.5,0.5943476533681403,0.3629275392452438,0.4506648306725763,0.008402347564697266,0.013760089874267578
low_throw,7,20316634,2,Hybrid DSA,0.15,0.06334155604369211,0.43868038950687877,0.11069913864719513,0.09529733657836914,0.013760089874267578
low_throw,7,20316634,2,SwinUNETR,0.4,0.301180140127092,0.44838340783865266,0.3603274944999861,0.020485401153564453,0.013760089874267578
high_curvature,0,20261201,6,U-Net,0.5,0.32657210920290647,0.8490832523485585,0.4717146158248419,0.09567928314208984,0.03679990768432617
high_curvature,0,20261201,6,Hybrid DSA,0.15,0.2782016250484719,0.7994687398769031,0.41276722427940177,0.10575199127197266,0.03679990768432617
high_curvature,0,20261201,6,SwinUNETR,0.4,0.45112352211117646,0.7159054097829608,0.5534768867050344,0.058399200439453125,0.03679990768432617
high_curvature,1,20269120,4,U-Net,0.5,0.4398636436431856,0.9011272292657777,0.5911645104505378,0.04168415069580078,0.020347118377685547
high_curvature,1,20269120,4,Hybrid DSA,0.15,0.20216425784604813,0.9653863279510675,0.33431803794900095,0.09716272354125977,0.020347118377685547
high_curvature,1,20269120,4,SwinUNETR,0.4,0.32292350439263007,0.8416020247943569,0.4667533142708604,0.05302858352661133,0.020347118377685547
high_curvature,2,20277039,2,U-Net,0.5,0.22828716627299406,0.8944416400246789,0.36373796815838694,0.0333094596862793,0.008501529693603516
high_curvature,2,20277039,2,Hybrid DSA,0.15,0.07342322342439184,0.8811486903359695,0.13555139477294495,0.10202646255493164,0.008501529693603516
high_curvature,2,20277039,2,SwinUNETR,0.4,0.26964044606691,0.9072858825509003,0.4157286044718581,0.028605937957763672,0.008501529693603516
high_curvature,3,20284958,5,U-Net,0.5,0.6639378193964656,0.7268330416302038,0.6939632663414051,0.06680870056152344,0.06102752685546875
high_curvature,3,20284958,5,Hybrid DSA,0.15,0.35135744430149934,0.9133251031378923,0.5074847829673431,0.15863609313964844,0.06102752685546875
high_curvature,3,20284958,5,SwinUNETR,0.4,0.6850302902340387,0.6591136392049006,0.6718221132021376,0.05871868133544922,0.06102752685546875
high_curvature,4,20292877,5,U-Net,0.5,0.4052161623948095,0.8300109211963316,0.5445700546900967,0.07422924041748047,0.0362391471862793
high_curvature,4,20292877,5,Hybrid DSA,0.15,0.18393810469423857,0.9153146751930946,0.3063194374111047,0.18033361434936523,0.0362391471862793
high_curvature,4,20292877,5,SwinUNETR,0.4,0.38724192511594796,0.7371807523783208,0.507757980025014,0.06898736953735352,0.0362391471862793
high_curvature,5,20300796,5,U-Net,0.5,0.45289446048831716,0.7031866216918546,0.5509463489414704,0.07265090942382812,0.04679155349731445
high_curvature,5,20300796,5,Hybrid DSA,0.15,0.39474393833846433,0.716057434601392,0.5089286684315167,0.08487892150878906,0.04679155349731445
high_curvature,5,20300796,5,SwinUNETR,0.4,0.5913988831307296,0.6896228434000142,0.6367451401042549,0.054563045501708984,0.04679155349731445
high_curvature,6,20308715,5,U-Net,0.5,0.42834385391983115,0.635480059084195,0.5117463036315407,0.0718388557434082,0.048422813415527344
high_curvature,6,20308715,5,Hybrid DSA,0.15,0.21718685631274257,0.7891186607582472,0.3406245882197918,0.17593765258789062,0.048422813415527344
high_curvature,6,20308715,5,SwinUNETR,0.4,0.5377155076003615,0.591836533727228,0.5634794511557699,0.053296566009521484,0.048422813415527344
high_curvature,7,20316634,2,U-Net,0.5,0.5415241125324152,0.5934753534581582,0.5663107758571575,0.021881580352783203,0.01996612548828125
high_curvature,7,20316634,2,Hybrid DSA,0.15,0.21250468333040226,0.6637371035536874,0.32193681040224725,0.0623621940612793,0.01996612548828125
high_curvature,7,20316634,2,SwinUNETR,0.4,0.5136449011158988,0.6661730989682842,0.5800494915677182,0.025895118713378906,0.01996612548828125
strong_depth_dip,0,20261201,6,U-Net,0.5,0.21781896632281184,0.6488278933546333,0.3261467331792189,0.11736440658569336,0.039400577545166016
strong_depth_dip,0,20261201,6,Hybrid DSA,0.15,0.15562479546573313,0.6848685086349828,0.25361896652175864,0.17339277267456055,0.039400577545166016
strong_depth_dip,0,20261201,6,SwinUNETR,0.4,0.31939021128644024,0.3613138244442024,0.3390610094035343,0.04457235336303711,0.039400577545166016
strong_depth_dip,1,20269120,4,U-Net,0.5,0.360074986609534,0.5755157948805752,0.44299034628183587,0.04451274871826172,0.027849674224853516
strong_depth_dip,1,20269120,4,Hybrid DSA,0.15,0.1242267836407066,0.9634791541820049,0.22007771083512748,0.21599674224853516,0.027849674224853516
strong_depth_dip,1,20269120,4,SwinUNETR,0.4,0.28052278346873893,0.6798732985189624,0.397169363106699,0.06749629974365234,0.027849674224853516
strong_depth_dip,2,20277039,2,U-Net,0.5,0.19427295918367346,0.8888305322128851,0.31885362585831517,0.037384033203125,0.00817108154296875
strong_depth_dip,2,20277039,2,Hybrid DSA,0.15,0.045422109483763774,0.984360410830999,0.086837221394245,0.1770787239074707,0.00817108154296875
strong_depth_dip,2,20277039,2,SwinUNETR,0.4,0.23330243234891626,0.9252450980392157,0.3726423409130971,0.03240537643432617,0.00817108154296875
strong_depth_dip,3,20284958,5,U-Net,0.5,0.46893317702227433,0.4999408853682842,0.4839408480409388,0.06019783020019531,0.056464195251464844
strong_depth_dip,3,20284958,5,Hybrid DSA,0.15,0.2190928124877128,0.7529092843751584,0.33941698931362807,0.19403839111328125,0.056464195251464844
strong_depth_dip,3,20284958,5,SwinUNETR,0.4,0.4468840521403283,0.37521745739524043,0.4079269916176241,0.0474090576171875,0.056464195251464844
strong_depth_dip,4,20292877,5,U-Net,0.5,0.298211405758401,0.6814021627499547,0.414861335883478,0.07214164733886719,0.03157234191894531
strong_depth_dip,4,20292877,5,Hybrid DSA,0.15,0.1321937781671066,0.866081677037395,0.22937678872495784,0.2068495750427246,0.03157234191894531
strong_depth_dip,4,20292877,5,SwinUNETR,0.4,0.4099489148943879,0.5126714190781128,0.45559171895446765,0.03948354721069336,0.03157234191894531
strong_depth_dip,5,20300796,5,U-Net,0.5,0.28956597841236914,0.5897957297347259,0.38842896151103534,0.07355451583862305,0.036112308502197266
strong_depth_dip,5,20300796,5,Hybrid DSA,0.15,0.20571137420413468,0.6770496349015621,0.315548170712945,0.11885499954223633,0.036112308502197266
strong_depth_dip,5,20300796,5,SwinUNETR,0.4,0.40709863697846216,0.4133072768806201,0.41017946416286094,0.036663055419921875,0.036112308502197266
strong_depth_dip,6,20308715,5,U-Net,0.5,0.33946362490341997,0.3510001997245903,0.3451355332179126,0.04690361022949219,0.045361995697021484
strong_depth_dip,6,20308715,5,Hybrid DSA,0.15,0.1508113080065755,0.7531719418486088,0.25130298757689906,0.22654390335083008,0.045361995697021484
strong_depth_dip,6,20308715,5,SwinUNETR,0.4,0.4280686736101203,0.2838506901010186,0.3413521098273203,0.030079364776611328,0.045361995697021484
strong_depth_dip,7,20316634,2,U-Net,0.5,0.18401038768317565,0.02371276951761725,0.042011646373742724,0.002570629119873047,0.01994800567626953
strong_depth_dip,7,20316634,2,Hybrid DSA,0.15,0.129309443529627,0.4730362862743223,0.2030995022322574,0.07297325134277344,0.01994800567626953
strong_depth_dip,7,20316634,2,SwinUNETR,0.4,0.22882356247540891,0.2919395706841325,0.2565567657840285,0.02545022964477539,0.01994800567626953
phase_rotated,0,20261201,6,U-Net,0.5,0.632807545574424,0.6203680860512163,0.6265260766003249,0.04737043380737305,0.04832029342651367
phase_rotated,0,20261201,6,Hybrid DSA,0.15,0.27660714615683113,0.8863275275077712,0.4216307820139376,0.1548318862915039,0.04832029342651367
phase_rotated,0,20261201,6,SwinUNETR,0.4,0.5122326685742614,0.5812009670893571,0.5445417310021543,0.05482625961303711,0.04832029342651367
phase_rotated,1,20269120,4,U-Net,0.5,0.5273583373924339,0.7050332383665717,0.6033880200169517,0.04698944091796875,0.035147666931152344
phase_rotated,1,20269120,4,Hybrid DSA,0.15,0.34877618059672,0.7663139329805997,0.47937300031400903,0.0772247314453125,0.035147666931152344
phase_rotated,1,20269120,4,SwinUNETR,0.4,0.45577340119495463,0.6985619318952653,0.5516351072662506,0.05387067794799805,0.035147666931152344
phase_rotated,2,20277039,2,U-Net,0.5,0.24669467015562593,0.9774230952868154,0.39395730525505507,0.027698516845703125,0.006990909576416016
phase_rotated,2,20277039,2,Hybrid DSA,0.15,0.07269878108046456,0.9999317918286611,0.13554307375817673,0.09615612030029297,0.006990909576416016
phase_rotated,2,20277039,2,SwinUNETR,0.4,0.21546437564805215,0.9921560602960234,0.35404218033126045,0.03219127655029297,0.006990909576416016
phase_rotated,3,20284958,5,U-Net,0.5,0.7069746746937626,0.762989749318908,0.73391494516164,0.05251264572143555,0.04865741729736328
phase_rotated,3,20284958,5,Hybrid DSA,0.15,0.2570030309993544,0.920689520001568,0.4018366203448261,0.17431068420410156,0.04865741729736328
phase_rotated,3,20284958,5,SwinUNETR,0.4,0.5868187235886878,0.6368848121361792,0.6108275764838573,0.05280876159667969,0.04865741729736328
phase_rotated,4,20292877,5,U-Net,0.5,0.5354811936469612,0.7743082831456751,0.6331208656904158,0.06319761276245117,0.043704986572265625
phase_rotated,4,20292877,5,Hybrid DSA,0.15,0.3155452801726684,0.8740944400803002,0.4636973199480253,0.12106752395629883,0.043704986572265625
phase_rotated,4,20292877,5,SwinUNETR,0.4,0.5796105036799225,0.6263747054202671,0.6020859223835517,0.047231197357177734,0.043704986572265625
phase_rotated,5,20300796,5,U-Net,0.5,0.3220286980285268,0.9357467189152205,0.4791591464062002,0.06682825088500977,0.022998332977294922
phase_rotated,5,20300796,5,Hybrid DSA,0.15,0.11682765061227683,0.9908150359727147,0.20901071120849898,0.19504880905151367,0.022998332977294922
phase_rotated,5,20300796,5,SwinUNETR,0.4,0.3080872347467912,0.8684456055234185,0.4548228421269803,0.06482839584350586,0.022998332977294922
phase_rotated,6,20308715,5,U-Net,0.5,0.5985575259216191,0.5506552387259459,0.5736080340678438,0.03444528579711914,0.03744173049926758
phase_rotated,6,20308715,5,Hybrid DSA,0.15,0.21990976404160922,0.7455075712229849,0.3396342453990578,0.12692975997924805,0.03744173049926758
phase_rotated,6,20308715,5,SwinUNETR,0.4,0.4367241957729153,0.4476254759873155,0.4421076464446988,0.0383763313293457,0.03744173049926758
phase_rotated,7,20316634,2,U-Net,0.5,0.519739950484758,0.9530096683646949,0.6726427785251314,0.025230884552001953,0.013760089874267578
phase_rotated,7,20316634,2,Hybrid DSA,0.15,0.14119901772891474,0.9982673181550403,0.247404175648634,0.09728288650512695,0.013760089874267578
phase_rotated,7,20316634,2,SwinUNETR,0.4,0.3859745461593126,0.828152614616904,0.5265442367223734,0.029523849487304688,0.013760089874267578
colored_noise,0,20261201,6,U-Net,0.5,0.20346930485098288,0.8106083781516752,0.3252885375024503,0.1925048828125,0.04832029342651367
colored_noise,0,20261201,6,Hybrid DSA,0.15,0.26972064495012027,0.7481324320323679,0.3964948707019411,0.13402748107910156,0.04832029342651367
colored_noise,0,20261201,6,SwinUNETR,0.4,0.34314435244257424,0.4490353777076035,0.38901261429163764,0.0632314682006836,0.04832029342651367
colored_noise,1,20269120,4,U-Net,0.5,0.5238936663132682,0.7240265906932574,0.6079121530032237,0.04857444763183594,0.035147666931152344
colored_noise,1,20269120,4,Hybrid DSA,0.15,0.26888535313356315,0.8253696920363587,0.4056272293896056,0.10788917541503906,0.035147666931152344
colored_noise,1,20269120,4,SwinUNETR,0.4,0.40464595534120446,0.7011667345000678,0.5131507094135052,0.06090354919433594,0.035147666931152344
